import time: self [us] | cumulative | imported package
import time:      1554 |       5230 |             cryptography.hazmat.decrepit.ciphers.algorithms
import time:      2515 |       7745 |           cryptography.hazmat.primitives.ciphers.algorithms
import time:      2939 |      10683 |         cryptography.hazmat.primitives.ciphers.modes
import time:      2471 |      13154 |       cryptography.hazmat.primitives.ciphers.base
import time:      1542 |      19192 |     cryptography.hazmat.primitives.ciphers
import time:     91814 |      91814 |     cryptography.hazmat.primitives.hmac
import time:      2558 |     312205 |   cryptography.fernet
import time:      2589 |       2589 |             sqlalchemy.dialects.sqlite.json
import time:     27481 |      30069 |           sqlalchemy.dialects.sqlite.base
import time:      5757 |       5757 |           sqlalchemy.dialects.sqlite.pysqlite
import time:      1787 |       1787 |             sqlalchemy.connectors
import time:      2997 |       4784 |           sqlalchemy.connectors.asyncio
import time:     59503 |     100111 |         sqlalchemy.dialects.sqlite.aiosqlite
import time:     16293 |      16293 |         sqlalchemy.dialects.sqlite.pysqlcipher
import time:     17353 |      17353 |           sqlalchemy.dialects._typing
import time:     22189 |      39542 |         sqlalchemy.dialects.sqlite.dml
import time:      3242 |     159186 |       sqlalchemy.dialects.sqlite
import time:   1719042 |    1878228 |     fastapi_modulo.db
import time:     59624 |    1937851 |   fastapi_modulo.module_registry
import time:       372 |        372 |         fastapi_modulo.modulos
import time:      6711 |       6711 |             fastapi_modulo.modulos.web.servicios.module_tools
import time:      5131 |      11841 |           fastapi_modulo.modulos.web.servicios
import time:        85 |      11925 |         fastapi_modulo.modulos.web.servicios.module_tools
import time:     37077 |      49373 |       fastapi_modulo.modulos.web
import time:      4324 |       4324 |                 pydantic.v1.typing
import time:     10927 |      15250 |               pydantic.v1.errors
import time:       991 |        991 |                   cython
import time:     10289 |      11279 |                 pydantic.v1.version
import time:      4560 |      15838 |               pydantic.v1.utils
import time:      3806 |      34893 |             pydantic.v1.class_validators
import time:    276464 |     276464 |             pydantic.v1.config
import time:      5023 |       5023 |                 pydantic.v1.color
import time:     10663 |      10663 |                     pydantic.v1.datetime_parse
import time:    349335 |     359997 |                   pydantic.v1.validators
import time:    198001 |     557998 |                 pydantic.v1.networks
